duration,director_fb_likes,movie_fb_likes,cast_total_fb_likes,num_voted_users,num_user_for_reviews,budget,imdb_score
178.0,0.0,33000,4834,886204,3054.0,237000000.0,7.9
148.0,0.0,85000,11700,275868,994.0,245000000.0,6.8
164.0,22000.0,164000,106759,1144337,2701.0,250000000.0,8.5
132.0,475.0,24000,1873,212204,738.0,263700000.0,6.6
156.0,0.0,0,46055,383056,1902.0,258000000.0,6.2
100.0,15.0,29000,2036,294810,387.0,260000000.0,7.8
141.0,0.0,118000,92000,462669,1117.0,250000000.0,7.5
153.0,282.0,10000,58753,321795,973.0,250000000.0,7.5
183.0,0.0,197000,24450,371639,3018.0,250000000.0,6.9
169.0,0.0,0,29991,240396,2367.0,209000000.0,6.1
106.0,395.0,0,2023,330784,1243.0,200000000.0,6.7
151.0,563.0,5000,48486,522040,1832.0,225000000.0,7.3
150.0,563.0,48000,45757,181792,711.0,215000000.0,6.5
143.0,0.0,118000,20495,548573,2536.0,225000000.0,7.2
150.0,80.0,0,22697,149922,438.0,225000000.0,6.6
173.0,0.0,123000,87697,995415,1722.0,220000000.0,8.1
136.0,252.0,58000,54083,370704,484.0,250000000.0,6.7
106.0,188.0,40000,12572,268154,341.0,225000000.0,6.8
164.0,0.0,65000,9152,354228,802.0,250000000.0,7.5
153.0,464.0,56000,28489,451803,1225.0,230000000.0,7.0
156.0,0.0,17000,3244,211765,546.0,200000000.0,6.7
186.0,0.0,83000,9152,483540,951.0,225000000.0,7.9
113.0,129.0,0,24106,149019,666.0,180000000.0,6.1
201.0,0.0,0,7123,316018,2618.0,207000000.0,7.2
194.0,0.0,26000,45223,793059,2528.0,200000000.0,7.7
147.0,94.0,72000,64798,272670,1022.0,250000000.0,8.2
131.0,532.0,44000,26679,202382,751.0,209000000.0,5.9
124.0,365.0,150000,8458,418214,1290.0,150000000.0,7.0
143.0,0.0,80000,2039,522030,1498.0,200000000.0,7.8
135.0,0.0,0,43388,411164,1303.0,200000000.0,7.3
195.0,1000.0,95000,30426,557489,1187.0,200000000.0,7.2
108.0,13000.0,24000,79957,306320,736.0,200000000.0,6.5
104.0,420.0,0,21714,383427,1912.0,210000000.0,6.8
104.0,37.0,44000,14863,235025,265.0,200000000.0,7.3
150.0,0.0,0,3218,323207,1439.0,200000000.0,6.0
165.0,0.0,56000,3988,242420,918.0,210000000.0,5.7
130.0,0.0,60000,73441,175409,511.0,215000000.0,6.4
142.0,464.0,41000,28631,321227,1067.0,200000000.0,6.7
125.0,364.0,30000,25550,264183,665.0,170000000.0,6.8
106.0,487.0,10000,4482,101178,283.0,200000000.0,6.3
123.0,258.0,24000,17657,223393,550.0,200000000.0,5.6
103.0,125.0,30000,19085,544884,733.0,200000000.0,8.3
118.0,368.0,0,27468,286095,974.0,200000000.0,6.6
140.0,0.0,94000,79150,278232,657.0,190000000.0,7.2
123.0,395.0,129000,32392,465019,995.0,190000000.0,7.0
149.0,0.0,82000,91434,514125,752.0,200000000.0,8.0
132.0,14000.0,92000,21411,395573,1171.0,190000000.0,7.8
114.0,0.0,22000,1766,106416,205.0,195000000.0,6.3
143.0,1000.0,115000,29770,362912,753.0,105000000.0,7.3
116.0,179.0,23000,16149,222403,453.0,200000000.0,6.6
131.0,0.0,83000,19166,381148,1106.0,190000000.0,7.0
154.0,0.0,46000,2593,326180,899.0,195000000.0,6.3
122.0,14000.0,5000,14959,333847,2054.0,185000000.0,6.2
93.0,113.0,20000,696,62836,345.0,200000000.0,6.8
93.0,56.0,39000,5005,273556,428.0,185000000.0,7.2
