duration,director_fb_likes,movie_fb_likes,cast_total_fb_likes,num_voted_users,num_user_for_reviews,budget,imdb_score
164.0,22000.0,164000.0,106759.0,1144337,2701.0,250000000.0,8.5
132.0,475.0,24000.0,1873.0,212204,738.0,263700000.0,6.6
100.0,15.0,29000.0,2036.0,294810,387.0,260000000.0,7.8
153.0,282.0,10000.0,58753.0,321795,973.0,250000000.0,7.5
151.0,563.0,5000.0,48486.0,522040,1832.0,225000000.0,7.3
150.0,563.0,48000.0,45757.0,181792,711.0,215000000.0,6.5
136.0,252.0,58000.0,54083.0,370704,484.0,250000000.0,6.7
106.0,188.0,40000.0,12572.0,268154,341.0,225000000.0,6.8
153.0,464.0,56000.0,28489.0,451803,1225.0,230000000.0,7.0
147.0,94.0,72000.0,64798.0,272670,1022.0,250000000.0,8.2
131.0,532.0,44000.0,26679.0,202382,751.0,209000000.0,5.9
124.0,365.0,150000.0,8458.0,418214,1290.0,150000000.0,7.0
195.0,1000.0,95000.0,30426.0,557489,1187.0,200000000.0,7.2
108.0,13000.0,24000.0,79957.0,306320,736.0,200000000.0,6.5
104.0,37.0,44000.0,14863.0,235025,265.0,200000000.0,7.3
142.0,464.0,41000.0,28631.0,321227,1067.0,200000000.0,6.7
125.0,364.0,30000.0,25550.0,264183,665.0,170000000.0,6.8
106.0,487.0,10000.0,4482.0,101178,283.0,200000000.0,6.3
123.0,258.0,24000.0,17657.0,223393,550.0,200000000.0,5.6
103.0,125.0,30000.0,19085.0,544884,733.0,200000000.0,8.3
123.0,395.0,129000.0,32392.0,465019,995.0,190000000.0,7.0
132.0,14000.0,92000.0,21411.0,395573,1171.0,190000000.0,7.8
143.0,1000.0,115000.0,29770.0,362912,753.0,105000000.0,7.3
116.0,179.0,23000.0,16149.0,222403,453.0,200000000.0,6.6
122.0,14000.0,5000.0,14959.0,333847,2054.0,185000000.0,6.2
93.0,113.0,20000.0,696.0,62836,345.0,200000000.0,6.8
93.0,56.0,39000.0,5005.0,273556,428.0,185000000.0,7.2
122.0,681.0,30000.0,1327.0,53607,432.0,185000000.0,7.5
98.0,475.0,16000.0,2975.0,718837,1043.0,180000000.0,8.4
158.0,776.0,13000.0,2144.0,283418,1055.0,200000000.0,5.8
110.0,282.0,29000.0,21175.0,42372,239.0,180000000.0,6.6
152.0,22000.0,37000.0,57802.0,1676169,4667.0,185000000.0,9.0
126.0,4000.0,10000.0,39252.0,696338,1055.0,140000000.0,7.9
126.0,17000.0,42000.0,36017.0,245333,678.0,170000000.0,7.5
123.0,452.0,80000.0,11287.0,118992,971.0,175000000.0,6.9
96.0,293.0,2000.0,108016.0,115099,257.0,175000000.0,5.4
113.0,218.0,77000.0,12652.0,431620,741.0,178000000.0,7.9
106.0,4000.0,65000.0,32921.0,106072,398.0,175000000.0,7.8
124.0,4000.0,18000.0,48638.0,522371,723.0,200000000.0,7.0
132.0,274.0,53000.0,72881.0,228554,710.0,170000000.0,6.1
97.0,171.0,89000.0,15516.0,252257,634.0,180000000.0,7.0
130.0,198.0,45000.0,14363.0,317542,620.0,170000000.0,7.6
128.0,47.0,35000.0,20965.0,116994,324.0,175000000.0,6.3
136.0,94.0,55000.0,36188.0,496749,742.0,170000000.0,7.8
130.0,663.0,37000.0,5046.0,128306,497.0,190000000.0,6.5
102.0,38.0,41000.0,2963.0,279093,433.0,165000000.0,7.9
101.0,66.0,40000.0,4451.0,272534,345.0,165000000.0,7.8
120.0,776.0,67000.0,3233.0,58137,520.0,165000000.0,5.5
98.0,255.0,33000.0,20453.0,485430,492.0,165000000.0,8.2
121.0,571.0,96000.0,32438.0,682155,1097.0,170000000.0,8.1
169.0,22000.0,349000.0,31488.0,928227,2725.0,165000000.0,8.6
148.0,22000.0,175000.0,81115.0,1468200,2803.0,160000000.0,8.8
106.0,357.0,14000.0,45327.0,272223,988.0,38000000.0,6.7
166.0,21000.0,23000.0,13333.0,459346,822.0,150000000.0,7.8
132.0,905.0,54000.0,50983.0,518537,698.0,160000000.0,7.8
137.0,508.0,38000.0,81385.0,166137,383.0,160000000.0,6.6
109.0,226.0,11000.0,13388.0,124185,238.0,150000000.0,6.1
113.0,33.0,30000.0,80806.0,21352,131.0,170000000.0,6.4
126.0,230.0,82000.0,38873.0,188457,867.0,155000000.0,6.6
113.0,150.0,11000.0,764.0,106446,227.0,155000000.0,6.3
104.0,508.0,11000.0,13076.0,530870,1413.0,150000000.0,7.2
111.0,663.0,10000.0,4764.0,473887,626.0,150000000.0,8.0
128.0,22000.0,15000.0,59558.0,980946,2685.0,150000000.0,8.3
105.0,189.0,2000.0,54039.0,130272,209.0,150000000.0,5.9
102.0,69.0,58000.0,2582.0,421658,904.0,150000000.0,7.6
112.0,230.0,63000.0,59803.0,414070,532.0,170000000.0,7.1
120.0,750.0,191000.0,40025.0,552503,1588.0,150000000.0,8.1
99.0,473.0,19000.0,16184.0,152826,253.0,150000000.0,5.8
113.0,13000.0,82000.0,80849.0,199039,479.0,100000000.0,6.2
131.0,188.0,47000.0,21840.0,232187,440.0,150000000.0,7.4
90.0,90.0,20000.0,21015.0,182718,209.0,150000000.0,7.3
131.0,776.0,33000.0,18204.0,164238,434.0,150000000.0,6.4
111.0,456.0,24000.0,21393.0,39956,186.0,150000000.0,5.8
92.0,50.0,11000.0,5810.0,47900,130.0,145000000.0,6.9
93.0,35.0,17000.0,2444.0,119213,154.0,145000000.0,6.9
116.0,176.0,62000.0,2097.0,69757,1211.0,144000000.0,5.5
88.0,188.0,2000.0,14823.0,270207,606.0,140000000.0,6.1
95.0,5.0,24000.0,36095.0,64322,145.0,145000000.0,7.2
133.0,663.0,35000.0,21768.0,365104,512.0,145000000.0,7.4
97.0,52.0,25000.0,20645.0,123553,174.0,145000000.0,7.3
90.0,23.0,2000.0,1997.0,110788,258.0,100000000.0,6.1
127.0,14000.0,19000.0,39284.0,504419,1559.0,150000000.0,8.0
102.0,255.0,46000.0,23378.0,221128,343.0,145000000.0,7.9
126.0,295.0,24000.0,19769.0,51892,273.0,140000000.0,5.5
122.0,209.0,42000.0,31958.0,146352,288.0,130000000.0,5.8
124.0,394.0,46000.0,19761.0,508818,679.0,140000000.0,6.9
128.0,150.0,2000.0,2037.0,157519,683.0,135000000.0,6.4
115.0,386.0,65000.0,59177.0,185394,329.0,120000000.0,5.5
117.0,14000.0,27000.0,1950.0,12572,106.0,140000000.0,6.8
96.0,13.0,13000.0,17416.0,62424,90.0,135000000.0,6.5
107.0,563.0,26000.0,43291.0,183208,337.0,135000000.0,7.2
92.0,35.0,11000.0,19963.0,60230,118.0,132000000.0,6.7
92.0,54.0,6000.0,12754.0,307029,360.0,130000000.0,7.6
117.0,235.0,61000.0,5730.0,313866,549.0,130000000.0,7.4
146.0,508.0,82000.0,49355.0,498397,706.0,130000000.0,7.6
94.0,12.0,26000.0,17883.0,70121,214.0,135000000.0,6.7
90.0,50.0,16000.0,5046.0,114287,137.0,130000000.0,6.7
101.0,176.0,23000.0,12406.0,245621,514.0,110000000.0,6.4
107.0,14000.0,44000.0,4631.0,177383,447.0,135000000.0,7.4
98.0,189.0,11000.0,53587.0,67223,126.0,127000000.0,6.2
95.0,96.0,13000.0,46120.0,172754,187.0,130000000.0,7.3
96.0,124.0,20000.0,31549.0,91640,210.0,130000000.0,5.6
143.0,563.0,10000.0,48184.0,809474,2113.0,140000000.0,8.1
123.0,508.0,52000.0,81385.0,305008,591.0,125000000.0,6.7
132.0,681.0,54000.0,55345.0,284792,366.0,125000000.0,7.3
106.0,255.0,15000.0,18003.0,229679,637.0,125000000.0,5.8
135.0,209.0,31000.0,12175.0,229823,504.0,125000000.0,6.7
124.0,776.0,19000.0,20553.0,333248,1159.0,125000000.0,6.4
123.0,521.0,31000.0,13752.0,40123,297.0,120000000.0,7.1
77.0,50.0,459.0,2682.0,36471,69.0,120000000.0,5.4
109.0,662.0,61000.0,17689.0,338087,814.0,115000000.0,6.6
117.0,294.0,60000.0,14161.0,182899,630.0,100000000.0,6.2
117.0,446.0,11000.0,12731.0,148280,348.0,117000000.0,6.3
124.0,364.0,71000.0,22004.0,387436,892.0,120000000.0,7.0
138.0,446.0,68000.0,23755.0,328067,533.0,120000000.0,6.7
98.0,16.0,28000.0,43286.0,150618,195.0,135000000.0,7.3
120.0,19.0,16000.0,46719.0,37750,134.0,115000000.0,6.1
101.0,473.0,62000.0,2690.0,167085,491.0,125000000.0,5.9
112.0,13.0,12000.0,8306.0,17533,115.0,135000000.0,6.3
100.0,128.0,41000.0,1261.0,110486,695.0,120000000.0,4.3
108.0,189.0,3000.0,55486.0,234480,444.0,110000000.0,6.4
114.0,62.0,52000.0,16718.0,147497,499.0,110000000.0,6.1
142.0,776.0,4000.0,19454.0,207613,1144.0,110000000.0,7.1
119.0,124.0,27000.0,22622.0,154621,258.0,110000000.0,6.3
119.0,1000.0,14000.0,13391.0,136019,443.0,120000000.0,5.8
102.0,263.0,71000.0,10583.0,225273,523.0,110000000.0,6.2
103.0,67.0,31000.0,692.0,66593,153.0,110000000.0,5.5
76.0,6.0,304.0,13607.0,13581,88.0,110000000.0,5.4
120.0,124.0,12000.0,12452.0,44296,144.0,110000000.0,5.8
127.0,189.0,36000.0,22254.0,254841,426.0,110000000.0,7.1
121.0,101.0,894.0,2027.0,60573,248.0,160000000.0,3.7
114.0,151.0,123000.0,12908.0,184561,554.0,110000000.0,6.7
82.0,34.0,946.0,2762.0,36033,456.0,109000000.0,3.8
97.0,63.0,5000.0,2480.0,89351,214.0,105000000.0,7.1
104.0,23.0,53.0,3133.0,4102,89.0,90000000.0,4.4
116.0,285.0,16000.0,20233.0,189806,316.0,100000000.0,6.7
165.0,16000.0,199000.0,40978.0,955174,1193.0,100000000.0,8.5
103.0,165.0,108000.0,57881.0,246803,474.0,92000000.0,6.7
102.0,77.0,17000.0,14552.0,85833,113.0,100000000.0,6.7
103.0,207.0,25000.0,55175.0,176598,374.0,100000000.0,6.0
143.0,380.0,14000.0,33160.0,400292,657.0,100000000.0,8.0
240.0,17000.0,138000.0,46057.0,780588,1138.0,100000000.0,8.2
172.0,670.0,124000.0,22686.0,284825,828.0,102000000.0,7.5
101.0,420.0,21000.0,16235.0,115687,269.0,100000000.0,6.0
131.0,385.0,56000.0,52610.0,127258,351.0,90000000.0,6.1
114.0,19.0,37000.0,3962.0,33953,163.0,105000000.0,5.3
94.0,6.0,881.0,1195.0,40751,239.0,84000000.0,2.2
122.0,2000.0,27000.0,28328.0,71782,161.0,100000000.0,7.0
95.0,31.0,416.0,6161.0,20295,164.0,100000000.0,3.8
88.0,20.0,33000.0,309.0,27918,155.0,99000000.0,7.2
110.0,342.0,578.0,1722.0,18697,263.0,10000000.0,7.3
146.0,611.0,13000.0,23240.0,38690,130.0,94000000.0,7.6
85.0,116.0,18000.0,9271.0,106790,177.0,95000000.0,6.2
88.0,20.0,14000.0,25354.0,145321,139.0,95000000.0,6.6
100.0,475.0,11000.0,5641.0,692482,866.0,94000000.0,8.2
102.0,44.0,16000.0,17098.0,54501,154.0,95000000.0,5.5
105.0,81.0,47000.0,13118.0,403836,646.0,93000000.0,7.6
101.0,212.0,66000.0,15481.0,165618,503.0,92000000.0,5.3
137.0,102.0,701.0,5780.0,16832,267.0,107000000.0,6.0
124.0,212.0,1000.0,3611.0,21102,169.0,98000000.0,5.6
98.0,12000.0,18000.0,25780.0,149947,326.0,100000000.0,6.8
151.0,17000.0,29000.0,45648.0,873649,2054.0,90000000.0,8.5
88.0,7.0,12000.0,4478.0,171792,222.0,90000000.0,7.5
158.0,21000.0,54000.0,20388.0,330152,632.0,90000000.0,7.8
146.0,14000.0,11000.0,6217.0,238747,2153.0,100000000.0,7.1
88.0,50.0,988.0,2622.0,32049,179.0,90000000.0,4.9
106.0,87.0,28000.0,10882.0,86627,204.0,90000000.0,5.9
129.0,209.0,15000.0,23031.0,40862,139.0,90000000.0,6.9
96.0,107.0,19000.0,12071.0,165333,186.0,90000000.0,7.0
104.0,81.0,2000.0,5062.0,58227,181.0,90000000.0,5.4
