num_critic_for_reviews,duration,gross,num_voted_users,cast_total_fb_likes,num_user_for_reviews,budget,title_year,imdb_score,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Europe,North America,Other countries,English,Other language
602.0,148.0,200074175.0,275868,11700.0,994.0,245000000.0,2015.0,6.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
813.0,164.0,448130642.0,1144337,106759.0,2701.0,250000000.0,2012.0,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
462.0,132.0,73058679.0,212204,1873.0,738.0,263700000.0,2012.0,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
392.0,156.0,336530303.0,383056,46055.0,1902.0,258000000.0,2007.0,6.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
324.0,100.0,200807262.0,294810,2036.0,387.0,260000000.0,2010.0,7.8,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
635.0,141.0,458991599.0,462669,92000.0,1117.0,250000000.0,2015.0,7.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
375.0,153.0,301956980.0,321795,58753.0,973.0,250000000.0,2009.0,7.5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
673.0,183.0,330249062.0,371639,24450.0,3018.0,250000000.0,2016.0,6.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
434.0,169.0,200069408.0,240396,29991.0,2367.0,209000000.0,2006.0,6.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
403.0,106.0,168368427.0,330784,2023.0,1243.0,200000000.0,2008.0,6.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
313.0,151.0,423032628.0,522040,48486.0,1832.0,225000000.0,2006.0,7.3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
450.0,150.0,89289910.0,181792,45757.0,711.0,215000000.0,2013.0,6.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
733.0,143.0,291021565.0,548573,20495.0,2536.0,225000000.0,2013.0,7.2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
258.0,150.0,141614023.0,149922,22697.0,438.0,225000000.0,2008.0,6.6,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
448.0,136.0,241063875.0,370704,54083.0,484.0,250000000.0,2011.0,6.7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
451.0,106.0,179020854.0,268154,12572.0,341.0,225000000.0,2012.0,6.8,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
422.0,164.0,255108370.0,354228,9152.0,802.0,250000000.0,2014.0,7.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
599.0,153.0,262030663.0,451803,28489.0,1225.0,230000000.0,2012.0,7.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
343.0,156.0,105219735.0,211765,3244.0,546.0,200000000.0,2010.0,6.7,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
509.0,186.0,258355354.0,483540,9152.0,951.0,225000000.0,2013.0,7.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
251.0,113.0,70083519.0,149019,24106.0,666.0,180000000.0,2007.0,6.1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
446.0,201.0,218051260.0,316018,7123.0,2618.0,207000000.0,2005.0,7.2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
516.0,147.0,407197282.0,272670,64798.0,1022.0,250000000.0,2016.0,8.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
377.0,131.0,65173160.0,202382,26679.0,751.0,209000000.0,2012.0,5.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
750.0,143.0,304360277.0,522030,2039.0,1498.0,200000000.0,2012.0,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
300.0,135.0,373377893.0,411164,43388.0,1303.0,200000000.0,2004.0,7.3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
608.0,195.0,408992272.0,557489,30426.0,1187.0,200000000.0,2013.0,7.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
451.0,108.0,334185206.0,306320,79957.0,736.0,200000000.0,2010.0,6.5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
334.0,104.0,234360014.0,383427,21714.0,1912.0,210000000.0,2006.0,6.8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
376.0,104.0,268488329.0,235025,14863.0,265.0,200000000.0,2013.0,7.3,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
366.0,150.0,402076689.0,323207,3218.0,1439.0,200000000.0,2009.0,6.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
378.0,165.0,245428137.0,242420,3988.0,918.0,210000000.0,2014.0,5.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
525.0,130.0,234903076.0,175409,73441.0,511.0,215000000.0,2013.0,6.4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
495.0,142.0,202853933.0,321227,28631.0,1067.0,200000000.0,2014.0,6.7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
469.0,125.0,172051787.0,264183,25550.0,665.0,170000000.0,2010.0,6.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
304.0,106.0,191450875.0,101178,4482.0,283.0,200000000.0,2011.0,6.3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
436.0,123.0,116593191.0,223393,17657.0,550.0,200000000.0,2011.0,5.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
453.0,103.0,414984497.0,544884,19085.0,733.0,200000000.0,2010.0,8.3,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
422.0,118.0,125320003.0,286095,27468.0,974.0,200000000.0,2009.0,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
424.0,140.0,350034110.0,278232,79150.0,657.0,190000000.0,2015.0,7.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
654.0,123.0,202351611.0,465019,32392.0,995.0,190000000.0,2013.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
539.0,149.0,233914986.0,514125,91434.0,752.0,200000000.0,2014.0,8.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
